,index,country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
0,2,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",11-09-2025 21:00:00,16.5150833,80.5181667,PM2.5,14.0,43.0,26.0
1,3,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",11-09-2025 21:00:00,16.5150833,80.5181667,SO2,11.0,15.0,13.0
2,4,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",11-09-2025 21:00:00,16.5150833,80.5181667,CO,13.0,20.0,19.0
3,5,India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",11-09-2025 21:00:00,14.675886,77.593027,NH3,5.0,7.0,6.0
4,6,India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",11-09-2025 21:00:00,14.675886,77.593027,CO,18.0,84.0,46.0
5,7,India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",11-09-2025 21:00:00,14.675886,77.593027,OZONE,9.0,18.0,13.0
6,8,India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",11-09-2025 21:00:00,13.20488,79.097889,SO2,20.0,22.0,21.0
7,9,India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",11-09-2025 21:00:00,26.071318,91.87488,NH3,4.0,4.0,4.0
8,10,India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",11-09-2025 21:00:00,26.071318,91.87488,OZONE,19.0,38.0,27.0
9,11,India,Assam,Guwahati,"IITG, Guwahati - PCBA",11-09-2025 21:00:00,26.2028636,91.70046436,PM10,27.0,97.0,52.0
10,12,India,Assam,Guwahati,"IITG, Guwahati - PCBA",11-09-2025 21:00:00,26.2028636,91.70046436,OZONE,7.0,45.0,32.0
11,13,India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",11-09-2025 21:00:00,26.10887,91.589544,PM10,0.0,0.0,44.666666666666664
12,14,India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",11-09-2025 21:00:00,26.10887,91.589544,NH3,0.0,0.0,3.0
13,15,India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",11-09-2025 21:00:00,26.10887,91.589544,SO2,0.0,0.0,34.333333333333336
14,16,India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",11-09-2025 21:00:00,26.10887,91.589544,OZONE,12.0,18.0,15.0
15,17,India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",11-09-2025 21:00:00,26.181742,91.78063,PM2.5,37.0,77.0,56.0
16,18,India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",11-09-2025 21:00:00,26.181742,91.78063,CO,24.0,36.0,31.0
17,19,India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",11-09-2025 21:00:00,24.792403,84.992416,NO2,3.0,8.0,5.0
18,20,India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",11-09-2025 21:00:00,24.792403,84.992416,SO2,15.0,18.0,16.0
19,21,India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",11-09-2025 21:00:00,24.792403,84.992416,OZONE,4.0,76.0,15.0
20,22,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",11-09-2025 21:00:00,24.762518,84.982348,PM10,14.0,33.0,26.0
21,23,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",11-09-2025 21:00:00,24.762518,84.982348,CO,14.0,32.0,27.0
22,24,India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",11-09-2025 21:00:00,25.560083,87.553265,NO2,11.0,17.0,14.0
23,25,India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",11-09-2025 21:00:00,25.560083,87.553265,SO2,20.0,26.0,23.0
25,27,India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",11-09-2025 21:00:00,25.265194,87.012947,PM2.5,12.0,30.0,19.0
26,28,India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",11-09-2025 21:00:00,25.265194,87.012947,SO2,19.0,72.0,44.0
28,30,India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",11-09-2025 21:00:00,25.7808257,84.7446768,NO2,1.0,1.0,1.0
29,31,India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",11-09-2025 21:00:00,25.7808257,84.7446768,CO,4.0,7.0,5.0
30,32,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",11-09-2025 21:00:00,24.7955,84.9994,CO,19.0,54.0,42.0
31,33,India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",11-09-2025 21:00:00,24.792403,84.992416,PM10,28.0,115.0,66.0
33,35,India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",11-09-2025 21:00:00,26.63086,84.90051,CO,1.0,4.0,2.0
34,36,India,Bihar,Munger,"Town Hall, Munger - BSPCB",11-09-2025 21:00:00,25.376776,86.471523,PM2.5,2.0,110.0,36.0
35,37,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",11-09-2025 21:00:00,26.11442,85.39813,NO2,6.0,22.0,11.0
36,38,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",11-09-2025 21:00:00,26.11442,85.39813,CO,14.0,48.0,34.0
37,39,India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",11-09-2025 21:00:00,26.1403345,85.3650192,PM2.5,23.0,60.0,36.0
38,40,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",11-09-2025 21:00:00,25.592539,85.227158,PM10,13.0,46.0,28.0
39,41,India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",11-09-2025 21:00:00,25.610369,85.132568,SO2,14.0,25.0,21.0
40,42,India,Bihar,Patna,"Muradpur, Patna - BSPCB",11-09-2025 21:00:00,25.619651,85.147382,PM10,20.0,138.0,79.0
41,43,India,Bihar,Patna,"Muradpur, Patna - BSPCB",11-09-2025 21:00:00,25.619651,85.147382,NH3,4.0,5.0,5.0
42,44,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",11-09-2025 21:00:00,25.599486,85.113666,NO2,22.0,25.0,23.0
43,45,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",11-09-2025 21:00:00,25.599486,85.113666,CO,4.0,50.0,40.0
44,46,India,Bihar,Patna,"Samanpura, Patna - BSPCB",11-09-2025 21:00:00,25.596727,85.085624,PM10,79.0,154.0,123.0
45,47,India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",11-09-2025 21:00:00,24.75746,84.366208,SO2,8.0,14.0,11.0
46,48,India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",11-09-2025 21:00:00,24.75746,84.366208,OZONE,2.0,22.0,18.0
47,49,India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",11-09-2025 21:00:00,25.42742023,86.13886079,NO2,7.0,26.0,15.0
48,50,India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",11-09-2025 21:00:00,25.42742023,86.13886079,SO2,4.0,89.0,27.0
49,51,India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",11-09-2025 21:00:00,25.42742023,86.13886079,OZONE,19.0,59.0,37.0
50,52,India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",11-09-2025 21:00:00,26.80365,84.51954,SO2,10.0,119.0,23.0
51,53,India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",11-09-2025 21:00:00,13.20488,79.097889,OZONE,46.0,63.0,53.0
52,54,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",11-09-2025 21:00:00,16.9872867,81.7363176,PM10,13.0,52.0,33.0
53,55,India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",11-09-2025 21:00:00,13.67,79.35,CO,12.0,44.0,28.0
54,56,India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",11-09-2025 21:00:00,13.615387,79.40923,OZONE,30.0,31.0,30.0
55,57,India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",11-09-2025 21:00:00,16.536107,80.594233,CO,39.0,40.0,39.0
56,58,India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",11-09-2025 21:00:00,16.536107,80.594233,OZONE,10.0,38.0,26.0
57,59,India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",11-09-2025 21:00:00,16.509717,80.612222,PM2.5,34.0,74.0,52.0
58,60,India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",11-09-2025 21:00:00,27.103358,93.679645,PM2.5,2.0,53.0,39.0
59,61,India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",11-09-2025 21:00:00,26.349082,92.68449,SO2,1.0,15.0,7.0
60,62,India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",11-09-2025 21:00:00,26.446912,91.439057,NO2,3.0,8.0,5.0
61,63,India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",11-09-2025 21:00:00,26.446912,91.439057,NH3,1.0,4.0,2.0
62,64,India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",11-09-2025 21:00:00,26.987634,94.636574,NH3,3.0,5.0,4.0
63,65,India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",11-09-2025 21:00:00,30.735567,76.775714,NH3,9.0,14.0,11.0
64,66,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",11-09-2025 21:00:00,30.751462,76.762879,PM2.5,29.0,66.0,47.0
65,67,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",11-09-2025 21:00:00,30.751462,76.762879,CO,16.0,20.0,17.0
66,68,India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",11-09-2025 21:00:00,30.719859,76.738637,PM10,12.0,31.0,20.0
